vacancyId,employeeId,hireDate
1,1,2022-07-19
2,2,2020-03-25
3,3,2021-04-30
4,4,2024-02-26
5,5,2022-04-16
6,6,2020-07-02
7,7,2023-07-16
8,8,2021-09-17
9,9,2023-06-25
10,10,2021-05-17
11,11,2020-11-03
12,12,2021-08-21
13,13,2023-02-07
14,14,2024-01-10
15,15,2023-09-11
16,16,2021-12-06
17,17,2023-01-03
18,18,2024-01-23
19,19,2021-03-29
20,20,2023-10-19
21,21,2021-03-02
22,22,2022-07-27
23,23,2022-10-01
24,24,2021-02-19
25,25,2023-05-02
26,26,2022-08-25
27,27,2023-08-24
28,28,2020-06-20
29,29,2023-10-15
30,30,2022-09-08
31,31,2020-06-23
32,32,2023-02-16
33,33,2022-11-26
34,34,2021-04-02
35,35,2021-11-27
36,36,2023-02-17
37,37,2022-11-20
38,38,2023-07-30
39,39,2023-01-07
40,40,2023-12-11
41,41,2023-10-05
42,42,2022-07-12
43,43,2022-06-03
44,44,2024-04-13
45,45,2022-11-20
46,46,2021-01-09
47,47,2021-02-22
48,48,2022-03-15
49,49,2023-06-16
50,50,2020-04-24
51,51,2023-01-12
52,52,2022-02-21
53,53,2022-03-02
54,54,2024-03-13
55,55,2021-06-28
56,56,2023-02-10
57,57,2021-06-15
58,58,2022-04-17
59,59,2023-10-11
60,60,2022-07-26
61,61,2021-01-18
62,62,2024-03-15
63,63,2023-05-29
64,64,2023-03-30
65,65,2022-12-09
66,66,2020-11-25
67,67,2022-04-05
68,68,2024-03-07
69,69,2021-10-21
70,70,2021-02-27
71,71,2021-12-26
72,72,2023-04-15
73,73,2021-11-19
74,74,2023-10-04
75,75,2022-02-15
76,76,2023-05-10
77,77,2023-11-28
78,78,2022-09-23
79,79,2024-03-19
80,80,2021-08-18
81,81,2024-04-15
82,82,2021-08-01
83,83,2022-05-23
84,84,2023-12-29
85,85,2023-11-12
86,86,2021-02-09
87,87,2023-02-13
88,88,2021-10-19
89,89,2021-01-11
90,90,2021-02-09
91,91,2021-02-23
92,92,2021-02-03
93,93,2022-05-30
94,94,2023-06-10
95,95,2024-04-10
96,96,2021-01-07
97,97,2023-10-27
98,98,2021-04-24
99,99,2024-02-13
100,100,2022-12-05
101,101,2022-10-18
102,102,2022-10-01
103,103,2022-04-05
104,104,2022-01-25
105,105,2023-03-31
106,106,2021-03-09
107,107,2021-10-25
108,108,2024-02-28
109,109,2023-08-04
110,110,2022-03-19
111,111,2021-09-24
112,112,2022-06-28
113,113,2022-07-22
114,114,2021-11-15
115,115,2023-12-09
116,116,2023-08-17
117,117,2020-10-26
118,118,2022-04-19
119,119,2021-11-09
120,120,2021-09-24
121,121,2021-09-10
122,122,2021-06-07
123,123,2022-02-05
124,124,2021-09-29
125,125,2021-09-10
126,126,2021-01-06
127,127,2021-12-30
128,128,2020-11-27
129,129,2022-09-22
130,130,2022-04-14
131,131,2022-01-25
132,132,2022-10-06
133,133,2023-02-03
134,134,2023-09-22
135,135,2022-01-23
136,136,2023-11-03
137,137,2022-04-08
138,138,2021-12-29
139,139,2023-12-28
140,140,2021-01-23
141,141,2023-05-24
142,142,2023-10-09
143,143,2023-04-26
144,144,2023-12-22
145,145,2024-01-23
146,146,2021-04-16
147,147,2022-09-06
148,148,2024-04-20
