vacancyId,candidateId,interviewerId,interviewType,interviewDate,duration,feedback,score
1,1,9357,T,2022-01-13,58,Passed,10
2,2,9357,T,2022-10-11,53,Passed,9
3,3,9357,T,2021-09-21,49,Passed,9
4,4,9357,T,2023-01-17,47,Passed,9
5,5,9356,H,2024-01-04,47,Passed,9
6,6,9356,S,2021-05-23,43,Passed,9
7,7,9356,S,2023-06-09,41,Passed,9
8,8,9356,T,2024-03-23,41,Passed,9
9,9,9357,T,2020-12-03,59,Passed,10
10,10,9357,T,2022-12-05,53,Passed,10
11,11,9357,H,2024-01-14,60,Passed,8
12,12,9357,T,2024-01-01,48,Passed,10
13,13,9356,H,2020-06-25,50,Passed,8
14,14,9356,S,2023-10-05,59,Passed,9
15,15,9357,S,2023-10-23,54,Passed,10
16,16,9357,S,2023-05-17,45,Passed,8
17,17,9357,T,2023-03-07,43,Passed,10
18,18,9356,S,2022-04-20,53,Passed,9
19,19,9356,H,2022-04-09,58,Passed,10
20,20,9356,T,2022-11-14,51,Passed,8
21,21,9357,H,2023-12-23,50,Passed,9
22,22,9357,T,2020-08-28,50,Passed,10
23,23,9356,T,2020-04-15,57,Passed,8
24,24,9357,T,2021-11-28,55,Passed,10
25,25,9357,S,2021-01-07,55,Passed,9
26,26,9357,T,2024-03-09,50,Passed,8
27,27,9356,H,2020-09-29,47,Passed,10
28,28,9356,S,2022-06-05,59,Passed,9
29,29,9357,T,2020-11-15,40,Passed,8
30,30,9356,S,2023-04-15,50,Passed,8
31,31,9357,H,2020-12-21,41,Passed,9
32,32,9356,H,2021-06-26,58,Passed,9
33,33,9356,T,2021-07-01,52,Passed,9
34,34,9356,S,2023-06-10,56,Passed,8
35,35,9357,S,2023-10-26,44,Passed,9
36,36,9356,T,2021-02-21,41,Passed,8
37,37,9356,T,2021-11-18,60,Passed,10
38,38,9357,H,2023-11-20,53,Passed,10
39,39,9356,T,2022-02-08,42,Passed,8
40,40,9357,T,2022-02-12,45,Passed,10
41,41,9357,T,2022-01-15,43,Passed,8
42,42,9357,T,2023-08-28,60,Passed,9
43,43,9356,T,2022-07-20,52,Passed,10
44,44,9356,S,2022-05-26,43,Passed,9
45,45,9357,T,2021-07-02,43,Passed,10
46,46,9356,H,2022-03-08,48,Passed,9
47,47,9356,T,2022-06-22,42,Passed,10
48,48,9357,S,2021-11-18,44,Passed,10
49,49,9357,H,2020-12-01,40,Passed,8
50,50,9357,S,2023-09-28,43,Passed,8
51,51,9356,T,2021-08-07,44,Passed,10
52,52,9357,S,2022-05-20,55,Passed,9
53,53,9357,S,2023-09-02,49,Passed,10
54,54,9356,H,2022-04-12,48,Passed,9
55,55,9357,H,2022-04-27,50,Passed,9
56,56,9356,S,2022-03-19,53,Passed,8
57,57,9356,H,2020-12-14,46,Passed,9
58,58,9357,S,2022-07-02,40,Passed,9
59,59,9356,T,2021-10-29,60,Passed,10
60,60,9356,H,2023-04-19,41,Passed,8
61,61,9356,H,2023-06-27,52,Passed,9
62,62,9357,T,2023-01-03,47,Passed,10
63,63,9356,T,2023-01-14,47,Passed,9
64,64,9356,S,2024-02-03,45,Passed,8
65,65,9356,T,2023-06-19,44,Passed,8
66,66,9356,H,2022-02-26,54,Passed,8
67,67,9357,S,2022-07-07,50,Passed,8
68,68,9357,S,2023-06-22,59,Passed,8
69,69,9357,S,2022-03-28,41,Passed,8
70,70,9357,T,2023-09-01,56,Passed,9
71,71,9356,T,2023-05-02,46,Passed,10
72,72,9357,S,2022-02-20,45,Passed,8
73,73,9357,S,2020-09-28,52,Passed,9
74,74,9357,S,2023-05-10,58,Passed,9
75,75,9356,S,2024-02-14,51,Passed,9
76,76,9356,T,2022-06-11,45,Passed,10
77,77,9356,T,2021-10-08,42,Passed,10
78,78,9357,S,2021-05-08,41,Passed,10
79,79,9357,T,2021-04-04,49,Passed,10
80,80,9357,T,2022-07-20,49,Passed,10
81,81,9356,T,2023-04-25,44,Passed,10
82,82,9357,H,2022-03-17,59,Passed,9
83,83,9356,S,2021-03-15,51,Passed,8
84,84,9356,T,2020-12-03,50,Passed,10
85,85,9357,T,2023-04-03,45,Passed,9
86,86,9357,S,2021-12-19,59,Passed,10
87,87,9357,H,2021-12-14,50,Passed,8
88,88,9357,S,2021-05-24,40,Passed,10
89,89,9356,S,2020-12-06,48,Passed,10
90,90,9356,H,2021-09-09,41,Passed,8
91,91,9356,T,2023-01-02,56,Passed,9
92,92,9357,S,2022-04-28,50,Passed,8
93,93,9356,H,2024-01-11,58,Passed,8
94,94,9356,T,2021-04-21,56,Passed,10
95,95,9356,S,2021-05-10,40,Passed,9
96,96,9356,T,2022-04-11,47,Passed,9
97,97,9357,S,2021-07-04,48,Passed,8
98,98,9356,S,2024-03-04,49,Passed,8
99,99,9356,T,2024-04-09,56,Passed,9
100,100,9357,H,2021-06-13,52,Passed,8
101,101,9357,T,2023-12-22,60,Passed,9
102,102,9356,T,2022-02-12,49,Passed,8
103,103,9356,T,2021-06-26,57,Passed,9
104,104,9357,H,2020-08-19,49,Passed,9
105,105,9357,T,2023-05-28,52,Passed,8
106,106,9356,T,2020-08-01,44,Passed,8
107,107,9356,T,2024-01-09,55,Passed,9
108,108,9357,H,2022-06-09,52,Passed,9
109,109,9357,T,2024-02-22,49,Passed,10
110,110,9356,H,2022-05-25,40,Passed,10
111,111,9357,S,2020-06-23,42,Passed,10
112,112,9356,H,2021-09-16,43,Passed,8
113,113,9356,H,2023-05-31,52,Passed,9
