ownerId,skillId
1,1
1,7
1,31
1,17
1,33
1,27
1,11
2,8
2,26
2,10
2,40
2,14
2,18
2,3
2,35
2,31
3,10
3,1
3,40
3,28
3,15
3,18
3,6
3,29
4,37
4,25
4,8
4,11
4,2
4,20
5,19
5,32
5,2
5,21
5,27
5,8
5,14
5,40
5,33
5,9
6,3
6,8
6,33
6,18
6,29
7,36
7,2
7,12
7,16
7,24
7,26
7,8
8,10
8,3
8,35
8,17
9,18
9,23
9,8
9,12
10,9
10,39
10,35
10,27
10,23
10,15
11,33
11,31
11,5
11,13
11,37
11,21
12,26
12,40
12,4
13,10
13,39
13,25
13,34
13,20
13,15
13,3
14,23
14,1
14,26
14,12
14,8
14,15
14,30
14,35
14,18
15,36
15,18
15,10
15,28
15,3
15,8
15,30
15,13
15,38
15,21
16,30
16,3
16,38
16,24
17,6
17,32
17,19
18,24
18,26
18,2
18,36
18,17
18,6
19,32
19,8
19,3
19,36
19,39
19,27
19,17
19,14
19,21
19,9
20,4
20,34
20,39
20,21
20,25
21,12
21,26
21,29
21,2
21,18
21,22
21,6
22,8
22,36
22,25
22,2
22,13
22,12
22,40
23,38
23,18
23,9
23,24
24,7
24,38
24,33
24,28
24,18
24,12
24,32
24,13
24,2
24,24
25,24
25,15
25,32
25,19
25,2
25,38
25,11
25,35
25,25
26,38
26,8
26,21
26,19
27,37
27,28
27,14
27,35
27,18
27,2
27,21
27,6
28,27
28,11
28,7
28,18
28,29
28,13
28,22
28,35
29,21
29,31
29,39
29,3
29,26
29,12
29,7
29,35
29,16
30,13
30,26
30,36
30,38
30,19
30,5
30,32
30,22
31,16
31,2
31,37
31,32
31,10
32,37
32,16
32,22
32,20
33,27
33,7
33,1
33,11
33,34
33,17
33,21
33,29
33,13
33,39
34,14
34,1
34,35
34,10
35,37
35,15
35,36
36,11
36,28
36,3
36,23
36,17
36,15
36,37
36,5
36,35
36,29
37,36
37,38
37,16
37,22
37,6
37,17
37,32
38,14
38,11
38,6
38,22
38,31
38,28
39,36
39,25
39,17
39,3
40,11
40,31
40,40
40,24
40,6
40,19
40,15
41,25
41,32
41,15
41,7
41,35
41,4
41,21
41,20
42,14
42,21
42,40
42,19
42,26
42,9
42,2
43,26
43,39
43,20
43,1
43,21
43,29
43,5
43,9
43,36
43,13
44,2
44,18
44,30
44,38
44,26
45,38
45,35
45,4
45,9
45,29
45,17
46,13
46,37
46,8
47,26
47,11
47,30
47,8
47,36
47,20
47,22
47,39
47,2
48,38
48,3
48,7
48,26
48,9
48,36
48,16
48,30
48,20
48,22
49,21
49,4
49,38
49,16
50,32
50,37
50,33
50,8
50,20
50,25
50,13
51,13
51,3
51,27
51,8
51,31
51,20
51,12
52,25
52,37
52,20
52,29
52,9
52,35
53,15
53,21
53,30
53,38
53,27
53,7
53,36
53,20
53,3
53,12
54,30
54,22
54,40
54,17
54,14
54,9
55,38
55,33
55,2
55,23
55,16
55,9
55,32
56,38
56,32
56,4
56,15
56,12
56,24
57,21
57,31
57,14
57,36
57,38
58,10
58,30
58,26
58,2
58,7
58,39
58,16
58,17
59,7
59,13
59,40
59,12
59,27
59,31
59,3
59,20
59,36
60,33
60,37
60,22
60,3
60,10
60,27
60,13
60,18
60,32
60,6
61,17
61,25
61,3
61,34
61,24
61,14
61,29
62,1
62,35
62,26
62,5
62,15
62,30
63,33
63,3
63,22
63,8
63,17
63,12
64,33
64,26
64,37
64,10
64,19
64,6
64,1
65,7
65,17
65,3
65,23
65,30
65,33
65,39
65,25
65,15
66,7
66,27
66,34
66,30
66,22
66,4
67,15
67,39
67,31
67,2
67,17
67,33
67,8
67,24
67,27
67,12
68,39
68,28
68,12
68,29
68,23
68,35
68,19
68,7
69,21
69,28
69,6
69,31
69,1
69,18
70,23
70,26
70,36
70,16
70,29
70,10
70,5
70,3
70,17
71,2
71,37
71,19
71,10
72,26
72,22
72,12
72,15
72,37
72,19
72,7
73,4
73,36
73,15
73,11
73,25
73,38
73,8
74,20
74,21
74,25
74,31
75,32
75,11
75,21
75,33
75,15
75,19
75,1
75,37
75,27
75,7
76,12
76,28
76,36
76,14
76,30
77,4
77,29
77,9
77,22
77,38
77,17
77,5
77,14
77,26
78,13
78,29
78,3
78,26
78,24
78,40
78,10
78,19
78,8
79,32
79,14
79,33
79,18
80,9
80,18
80,30
80,13
80,38
80,28
80,1
80,34
81,37
81,32
81,22
81,28
81,10
81,2
81,15
81,33
82,26
82,6
82,36
83,16
83,33
83,19
83,22
83,1
83,39
83,10
83,26
84,33
84,21
84,2
84,14
85,17
85,10
85,24
85,14
85,36
85,29
86,30
86,12
86,26
86,1
87,16
87,36
87,24
87,39
87,10
87,30
87,28
87,4
87,17
88,4
88,40
88,28
88,34
88,12
88,29
88,19
89,22
89,16
89,1
89,30
89,40
90,5
90,22
90,38
90,29
91,23
91,40
91,14
91,7
92,32
92,28
92,4
92,5
92,19
92,34
92,13
92,22
92,10
93,36
93,5
93,27
93,16
93,39
94,19
94,25
94,40
94,23
95,34
95,17
95,37
95,11
95,15
96,34
96,23
96,8
96,10
96,4
96,13
96,29
96,39
97,32
97,36
97,5
97,9
98,17
98,39
98,11
98,4
98,26
99,15
99,23
99,25
99,8
99,35
99,31
100,26
100,5
100,14
101,27
101,14
101,22
101,17
101,35
101,4
101,5
101,11
101,38
102,25
102,35
102,40
103,15
103,21
103,2
104,40
104,29
104,16
104,36
104,12
104,4
105,22
105,39
105,5
105,3
105,14
105,17
105,26
106,40
106,36
106,26
106,17
106,12
107,34
107,23
107,1
108,23
108,26
108,30
108,37
108,5
109,30
109,6
109,2
109,18
109,21
109,25
109,11
109,35
110,9
110,20
110,21
110,7
110,4
111,39
111,21
111,10
111,19
111,1
112,26
112,16
112,31
112,20
112,3
112,7
112,11
112,36
112,21
112,39
113,40
113,24
113,1
113,33
113,19
113,29
113,15
113,28
113,11
113,6
114,19
114,15
114,6
114,4
114,25
114,32
115,7
115,3
115,21
115,38
115,30
115,16
115,36
116,39
116,6
116,24
116,1
116,28
117,1
117,31
117,7
117,24
118,1
118,36
118,15
118,11
118,31
118,28
118,22
118,6
118,38
118,20
119,4
119,17
119,28
119,34
119,23
119,32
119,11
119,5
119,39
120,13
120,27
120,11
120,37
120,32
120,2
120,17
120,21
120,5
120,36
121,24
121,29
121,17
121,4
121,16
121,26
121,6
121,37
122,11
122,34
122,15
122,32
123,26
123,14
123,1
123,22
123,32
123,39
124,8
124,24
124,37
124,33
124,16
124,30
125,16
125,25
125,2
125,40
125,17
125,8
126,17
126,38
126,25
126,23
126,29
127,32
127,2
127,23
127,17
127,5
127,10
127,25
127,37
127,14
127,33
128,15
128,28
128,17
128,3
128,7
128,21
128,40
129,25
129,13
129,19
129,33
130,27
130,3
130,10
130,5
130,22
130,34
130,19
130,37
130,15
130,31
131,27
131,35
131,11
131,31
131,37
132,16
132,33
132,20
132,29
132,39
132,10
133,7
133,12
133,34
133,29
133,2
133,13
133,27
133,20
133,38
134,14
134,19
134,35
134,24
134,3
134,40
134,26
134,12
134,7
134,30
135,19
135,36
135,4
135,11
135,39
135,22
135,31
135,16
135,28
136,17
136,7
136,35
136,39
136,28
137,27
137,6
137,32
137,40
137,15
137,4
137,24
138,18
138,1
138,35
138,25
138,10
138,8
138,13
138,29
139,6
139,36
139,31
139,23
139,2
140,35
140,32
140,9
140,37
140,23
140,6
140,27
140,1
140,18
140,13
141,27
141,12
141,14
142,31
142,3
142,25
143,25
143,24
143,34
143,5
143,9
143,13
143,20
143,39
144,21
144,8
144,15
144,35
144,12
144,27
144,18
144,30
144,38
144,4
145,9
145,8
145,33
145,1
145,31
145,22
146,37
146,31
146,12
147,14
147,6
147,19
147,28
147,37
147,30
147,23
147,3
147,12
148,21
148,13
148,37
148,18
148,28
148,3
148,6
148,12
149,30
149,18
149,9
150,40
150,13
150,28
150,20
150,34
150,11
150,5
150,23
151,17
151,27
151,22
151,13
151,8
152,23
152,17
152,8
152,13
152,37
153,37
153,23
153,12
153,5
153,4
153,18
153,31
154,22
154,4
154,37
154,14
154,6
154,29
154,20
155,11
155,26
155,16
155,3
156,29
156,10
156,35
156,38
156,23
156,6
156,25
156,18
157,4
157,29
157,39
157,36
157,27
157,7
157,9
158,4
158,5
158,16
159,40
159,15
159,30
160,11
160,4
160,37
160,34
160,24
160,31
161,14
161,1
161,9
161,20
161,8
161,33
162,19
162,4
162,22
162,34
162,9
163,15
163,18
163,22
163,40
163,27
163,35
163,9
163,5
164,19
164,13
164,10
164,8
164,35
164,29
164,4
164,22
164,25
164,40
165,33
165,25
165,22
165,7
165,4
165,29
165,19
166,9
166,27
166,18
166,21
167,33
167,29
167,20
167,26
167,40
168,33
168,19
168,3
168,6
168,39
168,24
169,29
169,2
169,8
169,12
169,35
169,15
169,21
170,28
170,37
170,8
170,2
170,21
170,20
171,30
171,27
171,11
172,13
172,8
172,17
172,37
173,13
173,20
173,35
174,22
174,8
174,2
174,13
174,28
174,30
174,34
174,9
175,28
175,17
175,29
176,25
176,15
176,7
176,29
176,12
176,24
177,34
177,13
177,37
177,30
177,21
177,11
177,27
177,18
177,7
178,5
178,16
178,34
178,24
178,3
178,37
179,39
179,6
179,18
179,36
180,6
180,33
180,39
180,27
180,32
180,2
180,15
180,11
180,23
180,19
181,5
181,24
181,18
181,37
181,3
181,10
182,24
182,12
182,32
182,15
182,36
182,4
182,26
182,37
182,7
182,19
183,1
183,40
183,28
183,8
184,9
184,24
184,30
185,17
185,30
185,39
185,24
185,10
185,3
185,36
186,25
186,40
186,24
186,11
186,15
186,20
187,36
187,39
187,30
187,8
187,9
187,23
187,14
187,28
187,20
188,17
188,27
188,12
188,29
188,1
188,13
188,38
188,22
188,35
189,1
189,25
189,7
189,32
189,10
189,36
189,13
189,23
189,37
190,19
190,32
190,26
191,36
191,40
191,15
192,8
192,31
192,1
192,25
192,38
192,35
192,14
192,17
193,7
193,15
193,38
193,23
194,23
194,15
194,32
194,20
194,5
194,4
194,10
194,40
194,27
194,33
195,32
195,20
195,37
196,33
196,4
196,32
197,37
197,8
197,27
197,14
197,34
198,16
198,26
198,34
199,9
199,8
199,39
199,16
200,5
200,26
200,2
200,16
200,31
200,20
200,22
200,36
201,28
201,29
201,37
201,22
201,12
201,13
201,1
201,33
201,6
202,6
202,2
202,12
202,17
202,21
202,38
202,14
202,26
202,33
203,9
203,33
203,28
203,31
203,2
203,19
204,6
204,22
204,33
204,10
204,27
204,31
204,2
205,28
205,13
205,12
206,20
206,1
206,39
207,18
207,37
207,12
207,35
207,13
207,25
208,23
208,34
208,20
208,14
208,32
208,27
208,4
208,39
208,8
208,10
209,31
209,24
209,4
209,36
209,9
209,27
210,4
210,13
210,30
210,36
210,37
210,18
210,6
210,9
210,26
210,21
211,32
211,24
211,12
211,19
211,13
212,39
212,3
212,8
212,13
212,35
212,21
213,31
213,4
213,28
213,22
213,16
213,19
213,7
214,27
214,31
214,12
214,7
214,37
214,20
214,36
214,15
214,4
214,21
215,18
215,2
215,10
215,30
215,8
215,38
215,28
215,33
216,7
216,24
216,38
216,27
216,19
216,11
216,15
216,4
217,32
217,2
217,11
217,33
217,21
217,39
217,20
218,34
218,7
218,38
218,11
218,23
218,13
219,26
219,19
219,14
219,7
219,24
219,36
219,31
220,24
220,10
220,18
221,36
221,21
221,3
221,14
222,36
222,26
222,11
222,32
222,2
222,16
222,23
222,38
222,5
222,20
223,27
223,6
223,37
223,36
223,10
223,15
224,15
224,7
224,32
224,39
224,23
224,28
224,33
224,18
224,10
224,2
225,1
225,26
225,22
225,10
225,18
225,35
226,13
226,8
226,20
226,36
226,40
226,31
226,21
226,28
226,11
227,33
227,27
227,5
227,18
227,23
228,39
228,23
228,28
228,12
228,8
228,2
228,29
228,19
229,35
229,38
229,13
229,9
229,2
229,31
229,6
230,10
230,2
230,17
231,28
231,36
231,6
231,4
231,39
231,19
231,10
231,16
232,33
232,15
232,28
232,12
232,21
232,7
232,3
233,17
233,22
233,33
233,4
233,31
233,40
234,32
234,4
234,28
234,9
234,37
234,8
235,28
235,36
235,21
235,1
235,30
235,12
235,5
235,18
235,38
236,25
236,33
236,7
236,23
236,10
236,37
236,3
237,30
237,11
237,17
238,2
238,30
238,13
238,12
238,34
238,18
238,24
238,27
238,7
238,39
239,2
239,33
239,18
240,3
240,30
240,12
240,24
240,14
241,15
241,23
241,7
241,29
241,10
241,19
241,1
241,26
242,3
242,28
242,39
243,17
243,8
243,29
243,13
243,35
244,5
244,37
244,29
244,36
244,15
244,11
244,4
244,26
244,24
244,18
245,17
245,3
245,7
245,28
245,23
245,40
245,33
245,9
246,8
246,38
246,16
246,22
246,2
246,19
246,12
247,17
247,23
247,37
247,1
247,36
247,30
247,25
247,10
248,36
248,37
248,24
248,19
248,4
248,9
248,8
249,32
249,14
249,1
249,17
250,33
250,13
250,8
250,10
250,20
250,24
250,4
250,26
251,2
251,23
251,29
251,35
251,28
252,26
252,22
252,29
253,21
253,16
253,1
253,20
253,38
253,6
253,10
254,2
254,19
254,10
254,14
254,6
254,27
254,23
254,39
254,33
255,39
255,11
255,25
255,33
255,32
255,14
255,2
255,19
255,6
256,37
256,20
256,29
256,35
257,29
257,36
257,19
258,21
258,39
258,19
258,5
258,2
258,35
258,30
258,16
258,25
259,12
259,6
259,35
259,17
259,30
259,24
260,27
260,24
260,19
260,5
260,14
260,11
261,17
261,16
261,40
261,1
261,31
261,6
261,35
262,17
262,5
262,14
263,19
263,10
263,33
264,3
264,34
264,20
265,18
265,15
265,32
265,27
265,12
265,4
265,7
265,33
266,29
266,36
266,40
266,16
266,28
266,3
266,5
266,12
266,17
266,21
267,35
267,37
267,1
267,7
267,14
267,17
268,9
268,26
268,21
268,20
268,6
268,38
268,3
269,19
269,7
269,35
269,29
269,16
269,40
269,9
269,4
270,39
270,12
270,20
270,28
270,22
270,2
270,5
270,36
270,15
270,31
271,26
271,15
271,5
271,9
272,29
272,20
272,7
273,16
273,36
273,17
273,37
273,9
273,27
274,7
274,28
274,35
274,13
274,21
274,19
274,40
274,31
274,11
275,14
275,30
275,36
275,4
276,10
276,25
276,35
276,31
276,37
276,4
276,17
276,13
277,24
277,36
277,5
277,14
277,37
278,3
278,25
278,8
278,35
278,30
279,18
279,27
279,2
279,40
279,9
279,8
279,35
279,23
279,16
279,32
280,4
280,19
280,34
281,38
281,7
281,12
281,27
282,9
282,23
282,17
282,16
282,28
282,4
283,33
283,13
283,21
283,38
283,29
283,11
283,27
283,17
283,3
283,6
284,39
284,3
284,34
284,24
284,16
284,20
284,30
284,27
284,5
285,23
285,28
285,12
285,13
286,23
286,32
286,12
286,38
286,5
286,35
287,38
287,5
287,30
288,3
288,6
288,15
288,10
289,24
289,14
289,30
289,6
289,11
289,33
289,37
289,28
289,3
289,19
290,15
290,32
290,33
290,5
290,4
290,11
290,24
291,29
291,3
291,36
292,32
292,8
292,35
292,1
293,2
293,37
293,29
293,18
293,14
