companyId,empCountryId,jobTitle,description,salary,employmentType,workSetting,publicationDate,closeDate,status
290,1,Data DevOps Engineer,Hello! We are really good company and want to hire you,95012,F,H,2020-03-29,2022-07-19,C
5,2,Data Architect,Hello! We are really good company and want to hire you,186000,F,P,2020-03-25,2020-03-25,C
6,2,Data Architect,Hello! We are really good company and want to hire you,81800,F,P,2020-09-06,2021-04-30,C
5,2,Data Scientist,Hello! We are really good company and want to hire you,212000,F,P,2020-08-22,2024-02-26,C
5,2,Data Scientist,Hello! We are really good company and want to hire you,93300,F,P,2020-04-11,2022-04-16,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,130000,F,R,2020-01-02,2020-07-02,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,100000,F,R,2020-03-15,2023-07-16,C
5,2,Machine Learning Researcher,Hello! We are really good company and want to hire you,224400,F,P,2020-08-21,2021-09-17,C
6,2,Machine Learning Researcher,Hello! We are really good company and want to hire you,138700,F,P,2020-08-27,2023-06-25,C
5,2,Data Engineer,Hello! We are really good company and want to hire you,210000,F,R,2020-05-21,2021-05-17,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,168000,F,R,2020-02-22,2020-11-03,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,224400,F,P,2020-11-03,2021-08-21,C
4,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,138700,F,P,2020-01-21,2023-02-07,C
23,3,Data Scientist,Hello! We are really good company and want to hire you,43064,F,P,2020-06-14,2024-01-10,C
33,3,Data Scientist,Hello! We are really good company and want to hire you,36912,F,P,2020-07-20,2023-09-11,C
9,2,Data Analyst,Hello! We are really good company and want to hire you,95000,F,P,2020-04-04,2021-12-06,C
3,2,Data Analyst,Hello! We are really good company and want to hire you,75000,F,P,2020-07-03,2023-01-03,C
2,2,Data Scientist,Hello! We are really good company and want to hire you,300000,F,P,2020-02-13,2024-01-23,C
4,2,Data Scientist,Hello! We are really good company and want to hire you,234000,F,P,2020-05-14,2021-03-29,C
2,2,Analytics Engineer,Hello! We are really good company and want to hire you,140000,F,P,2020-06-09,2023-10-19,C
5,2,Analytics Engineer,Hello! We are really good company and want to hire you,120000,F,P,2020-09-03,2021-03-02,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,204500,F,P,2020-06-02,2022-07-27,C
9,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,142200,F,P,2020-02-16,2022-10-01,C
5,2,Data Analyst,Hello! We are really good company and want to hire you,155000,F,P,2020-04-19,2021-02-19,C
6,2,Data Analyst,Hello! We are really good company and want to hire you,110000,F,P,2020-09-10,2023-05-02,C
2,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,266500,F,P,2020-06-29,2022-08-25,C
5,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,152000,F,P,2020-04-14,2023-08-24,C
34,2,Applied Scientist,Hello! We are really good company and want to hire you,222200,F,P,2020-05-20,2020-06-20,C
13,2,Applied Scientist,Hello! We are really good company and want to hire you,136000,F,P,2020-10-23,2023-10-15,C
5,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,273400,F,P,2020-08-10,2022-09-08,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,182200,F,P,2020-03-03,2020-06-23,C
9,2,BI Developer,Hello! We are really good company and want to hire you,167500,F,P,2020-11-16,2023-02-16,C
3,2,BI Developer,Hello! We are really good company and want to hire you,106500,F,P,2020-10-31,2022-11-26,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,185900,F,P,2020-01-22,2021-04-02,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,129300,F,P,2020-09-11,2021-11-27,C
38,2,Business Intelligence Engineer,Hello! We are really good company and want to hire you,185000,F,P,2020-07-11,2023-02-17,C
14,2,Business Intelligence Engineer,Hello! We are really good company and want to hire you,79600,F,P,2020-06-25,2022-11-20,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,122000,F,P,2020-11-07,2023-07-30,C
10,2,Data Engineer,Hello! We are really good company and want to hire you,94500,F,P,2020-03-30,2023-01-07,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,247300,F,P,2020-03-25,2023-12-11,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,139700,F,P,2020-12-11,2023-10-05,C
10,2,Data Analyst,Hello! We are really good company and want to hire you,176000,F,P,2020-04-02,2022-07-12,C
5,2,Data Analyst,Hello! We are really good company and want to hire you,100000,F,P,2020-06-19,2022-06-03,C
9,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,204500,F,P,2020-06-06,2024-04-13,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,142200,F,P,2020-09-20,2022-11-20,C
34,2,Research Scientist,Hello! We are really good company and want to hire you,247600,F,P,2020-12-28,2021-01-09,C
14,2,Research Scientist,Hello! We are really good company and want to hire you,127300,F,P,2020-08-22,2021-02-22,C
5,2,Data Scientist,Hello! We are really good company and want to hire you,223400,F,R,2020-05-03,2022-03-15,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,186200,F,R,2020-02-16,2023-06-16,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,167500,F,P,2020-01-15,2020-04-24,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,106500,F,P,2020-10-11,2023-01-12,C
5,2,Data Scientist,Hello! We are really good company and want to hire you,185900,F,P,2020-07-03,2022-02-21,C
2,2,Data Scientist,Hello! We are really good company and want to hire you,129300,F,P,2020-03-23,2022-03-02,C
3,2,Research Analyst,Hello! We are really good company and want to hire you,72000,F,R,2020-01-30,2024-03-13,C
10,2,Research Analyst,Hello! We are really good company and want to hire you,64000,F,R,2020-08-31,2021-06-28,C
10,2,Analytics Engineer,Hello! We are really good company and want to hire you,179820,F,P,2020-10-04,2023-02-10,C
9,2,Analytics Engineer,Hello! We are really good company and want to hire you,143860,F,P,2020-11-23,2021-06-15,C
3,2,Research Scientist,Hello! We are really good company and want to hire you,283050,F,P,2020-03-09,2022-04-17,C
10,2,Research Scientist,Hello! We are really good company and want to hire you,188700,F,P,2020-04-07,2023-10-11,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,133000,F,P,2020-05-30,2022-07-26,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,58400,F,P,2020-12-31,2021-01-18,C
5,2,Research Engineer,Hello! We are really good company and want to hire you,141298,F,P,2020-10-29,2024-03-15,C
9,2,Research Engineer,Hello! We are really good company and want to hire you,115607,F,P,2020-09-13,2023-05-29,C
6,2,Data Analyst,Hello! We are really good company and want to hire you,100000,F,P,2020-12-27,2023-03-30,C
5,2,Data Analyst,Hello! We are really good company and want to hire you,75000,F,P,2020-09-30,2022-12-09,C
32,4,Machine Learning Engineer,Hello! We are really good company and want to hire you,266500,F,P,2020-02-18,2020-11-25,C
16,4,Machine Learning Engineer,Hello! We are really good company and want to hire you,144400,F,P,2020-06-09,2022-04-05,C
33,3,Data Engineer,Hello! We are really good company and want to hire you,71363,F,P,2020-01-04,2024-03-07,C
7,3,Data Engineer,Hello! We are really good company and want to hire you,55368,F,P,2020-11-08,2021-10-21,C
6,2,Research Scientist,Hello! We are really good company and want to hire you,287500,F,P,2020-11-15,2021-02-27,C
9,2,Research Scientist,Hello! We are really good company and want to hire you,156000,F,P,2020-05-13,2021-12-26,C
6,2,Data Analyst,Hello! We are really good company and want to hire you,90000,F,R,2020-07-29,2023-04-15,C
5,2,Data Analyst,Hello! We are really good company and want to hire you,70000,F,R,2020-09-20,2021-11-19,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,199000,F,P,2020-02-11,2023-10-04,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,162000,F,P,2020-07-30,2022-02-15,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,170884,F,R,2020-04-11,2023-05-10,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,113923,F,R,2020-03-25,2023-11-28,C
10,2,Data Engineer,Hello! We are really good company and want to hire you,184000,F,P,2020-09-11,2022-09-23,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,123000,F,P,2020-11-25,2024-03-19,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,235750,F,P,2020-05-19,2021-08-18,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,174250,F,P,2020-11-18,2024-04-15,C
6,2,Research Scientist,Hello! We are really good company and want to hire you,165000,F,R,2020-02-09,2021-08-01,C
9,2,Research Scientist,Hello! We are really good company and want to hire you,118800,F,R,2020-09-26,2022-05-23,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,225000,F,R,2020-06-05,2023-12-29,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,150000,F,R,2020-11-05,2023-11-12,C
10,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,213900,F,P,2020-04-01,2021-02-09,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,116800,F,P,2020-08-11,2023-02-13,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,220000,F,R,2020-10-04,2021-10-19,C
5,2,Data Scientist,Hello! We are really good company and want to hire you,150000,F,R,2020-10-08,2021-01-11,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,150000,F,P,2020-01-25,2021-02-09,C
6,2,Data Scientist,Hello! We are really good company and want to hire you,100000,F,P,2020-12-31,2021-02-23,C
9,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,247500,F,P,2020-07-29,2021-02-03,C
10,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,172200,F,P,2020-12-10,2022-05-30,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,155000,F,P,2020-05-19,2023-06-10,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,120000,F,P,2020-12-15,2024-04-10,C
3,2,Data Engineer,Hello! We are really good company and want to hire you,226700,F,P,2020-08-04,2021-01-07,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,133300,F,P,2020-12-28,2023-10-27,C
10,2,Data Engineer,Hello! We are really good company and want to hire you,184000,F,P,2020-10-15,2021-04-24,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,123000,F,P,2020-10-16,2024-02-13,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,130000,F,P,2020-07-26,2022-12-05,C
10,2,Data Scientist,Hello! We are really good company and want to hire you,117000,F,P,2020-10-08,2022-10-18,C
10,2,Data Science Engineer,Hello! We are really good company and want to hire you,160000,F,R,2020-09-04,2022-10-01,C
2,2,Data Science Engineer,Hello! We are really good company and want to hire you,140000,F,R,2020-06-10,2022-04-05,C
4,2,Data Scientist,Hello! We are really good company and want to hire you,166000,F,P,2020-01-16,2022-01-25,C
4,2,Data Scientist,Hello! We are really good company and want to hire you,73000,F,P,2020-01-14,2023-03-31,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,185900,F,R,2020-02-17,2021-03-09,C
6,2,Data Scientist,Hello! We are really good company and want to hire you,129300,F,R,2020-12-09,2021-10-25,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,130000,F,P,2020-02-26,2024-02-28,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,104000,F,P,2020-01-22,2023-08-04,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,143000,F,R,2020-02-23,2022-03-19,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,116000,F,R,2020-06-22,2021-09-24,C
6,2,Research Scientist,Hello! We are really good company and want to hire you,165000,F,R,2020-06-03,2022-06-28,C
4,2,Research Scientist,Hello! We are really good company and want to hire you,118800,F,R,2020-07-21,2022-07-22,C
4,2,Research Scientist,Hello! We are really good company and want to hire you,220000,F,P,2020-05-31,2021-11-15,C
6,2,Research Scientist,Hello! We are really good company and want to hire you,180000,F,P,2020-01-09,2023-12-09,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,184000,F,P,2020-06-14,2023-08-17,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,123000,F,P,2020-05-05,2020-10-26,C
6,2,Data Engineer,Hello! We are really good company and want to hire you,215000,F,P,2020-02-14,2022-04-19,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,200000,F,P,2020-12-25,2021-11-09,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,253000,F,P,2020-02-05,2021-09-24,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,131000,F,P,2020-02-22,2021-09-10,C
5,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,220000,F,P,2020-09-18,2021-06-07,C
2,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,176000,F,P,2020-11-04,2022-02-05,C
7,3,Data Quality Analyst,Hello! We are really good company and want to hire you,49216,F,R,2020-10-07,2021-09-29,C
23,3,Data Quality Analyst,Hello! We are really good company and want to hire you,36912,F,R,2020-02-08,2021-09-10,C
4,2,Data Scientist,Hello! We are really good company and want to hire you,210000,F,P,2020-09-25,2021-01-06,C
10,2,Data Scientist,Hello! We are really good company and want to hire you,147000,F,P,2020-06-20,2021-12-30,C
4,2,Data Product Manager,Hello! We are really good company and want to hire you,186000,F,P,2020-01-03,2020-11-27,C
5,2,Data Product Manager,Hello! We are really good company and want to hire you,161000,F,P,2020-03-08,2022-09-22,C
2,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,205000,F,P,2020-07-10,2022-04-14,C
5,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,152000,F,P,2020-07-24,2022-01-25,C
19,4,Data Engineer,Hello! We are really good company and want to hire you,220000,F,R,2020-06-06,2022-10-06,C
39,4,Data Engineer,Hello! We are really good company and want to hire you,190000,F,R,2020-02-16,2023-02-03,C
5,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,205000,F,P,2020-07-28,2023-09-22,C
6,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,152000,F,P,2020-12-16,2022-01-23,C
10,2,Data Analyst,Hello! We are really good company and want to hire you,137000,F,R,2020-03-03,2023-11-03,C
9,2,Data Analyst,Hello! We are really good company and want to hire you,110000,F,R,2020-05-14,2022-04-08,C
9,2,Data Scientist,Hello! We are really good company and want to hire you,172000,F,R,2020-03-01,2021-12-29,C
3,2,Data Scientist,Hello! We are really good company and want to hire you,146000,F,R,2020-06-29,2023-12-28,C
2,2,Data Engineer,Hello! We are really good company and want to hire you,148000,F,P,2020-12-08,2021-01-23,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,99000,F,P,2020-04-26,2023-05-24,C
10,2,Data Scientist,Hello! We are really good company and want to hire you,150000,F,P,2020-02-09,2023-10-09,C
4,2,Data Scientist,Hello! We are really good company and want to hire you,130000,F,P,2020-09-10,2023-04-26,C
9,2,Data Analyst,Hello! We are really good company and want to hire you,105000,F,P,2020-11-23,2023-12-22,C
10,2,Data Engineer,Hello! We are really good company and want to hire you,99000,F,P,2020-12-14,2024-01-23,C
5,2,Data Engineer,Hello! We are really good company and want to hire you,52500,F,P,2020-02-20,2021-04-16,C
9,2,Machine Learning Scientist,Hello! We are really good company and want to hire you,180514,F,R,2020-04-16,2022-09-06,C
4,2,Machine Learning Scientist,Hello! We are really good company and want to hire you,108308,F,R,2020-08-28,2024-04-20,C
10,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,210000,F,P,2020-05-13,2021-05-11,C
6,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,147000,F,P,2020-12-25,2022-02-23,C
5,2,Data Engineer,Hello! We are really good company and want to hire you,290300,F,P,2020-11-01,2021-04-27,C
4,2,Data Engineer,Hello! We are really good company and want to hire you,196685,F,P,2020-08-06,2021-11-15,C
5,2,AI Engineer,Hello! We are really good company and want to hire you,220000,F,P,2020-12-22,2022-10-24,C
5,2,AI Engineer,Hello! We are really good company and want to hire you,176000,F,P,2020-05-18,2022-09-17,C
9,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,175000,F,P,2020-11-07,2022-01-15,C
3,2,Machine Learning Engineer,Hello! We are really good company and want to hire you,130000,F,P,2020-06-01,2021-11-13,C
4,2,Data Architect,Hello! We are really good company and want to hire you,185000,F,P,2020-05-21,2021-06-24,C
5,2,Data Architect,Hello! We are really good company and want to hire you,150000,F,P,2020-05-08,2020-08-16,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,145000,F,P,2020-10-24,2021-06-01,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,115000,F,P,2020-02-28,2021-08-25,C
5,2,MLOps Engineer,Hello! We are really good company and want to hire you,133000,F,P,2020-07-12,2021-05-04,C
2,2,MLOps Engineer,Hello! We are really good company and want to hire you,58300,F,P,2020-03-31,2021-02-22,C
6,2,Analytics Engineer,Hello! We are really good company and want to hire you,115000,F,P,2020-11-14,2021-03-14,C
5,2,Analytics Engineer,Hello! We are really good company and want to hire you,95000,F,P,2020-10-26,2023-08-07,C
7,3,Data Engineer,Hello! We are really good company and want to hire you,110244,F,P,2020-04-24,2021-04-13,C
33,3,Data Engineer,Hello! We are really good company and want to hire you,39372,F,P,2020-01-13,2023-04-20,C
21,5,Data Scientist,Hello! We are really good company and want to hire you,43187,F,P,2020-03-08,2020-08-26,C
90,5,Data Scientist,Hello! We are really good company and want to hire you,31310,F,P,2020-01-15,2020-01-18,C
20,3,Data Analyst,Hello! We are really good company and want to hire you,92280,F,P,2020-02-02,2022-06-24,C
20,3,Data Analyst,Hello! We are really good company and want to hire you,67672,F,P,2020-03-25,2023-08-15,C
7,3,Data Analyst,Hello! We are really good company and want to hire you,92280,F,P,2020-05-26,2021-01-30,C
8,3,Data Analyst,Hello! We are really good company and want to hire you,67672,F,P,2020-04-01,2022-01-04,C
186,6,Data Scientist,Hello! We are really good company and want to hire you,75577,F,H,2020-06-16,2023-08-29,C
16,4,Deep Learning Engineer,Hello! We are really good company and want to hire you,303387,F,R,2020-12-08,2021-05-12,C
32,4,Deep Learning Engineer,Hello! We are really good company and want to hire you,100017,F,R,2020-06-22,2022-10-28,C
9,2,Data Engineer,Hello! We are really good company and want to hire you,230300,F,P,2020-11-04,2022-04-23,C
5,2,Data Engineer,Hello! We are really good company and want to hire you,140000,F,P,2020-07-18,2023-05-03,C
